record_id_1,record_id_2,same_person
REC0011624,REC0011626,1
REC0000376,REC0012424,0
REC0007230,REC0008104,0
REC0005368,REC0007533,0
REC0011143,REC0011144,1
REC0009564,REC0009565,1
REC0012412,REC0012413,1
REC0003028,REC0007601,0
REC0006864,REC0007106,0
REC0002617,REC0007170,0
REC0001164,REC0007746,0
REC0013345,REC0013346,1
REC0005001,REC0013222,0
REC0000599,REC0009141,0
REC0006060,REC0014116,0
REC0009971,REC0010855,0
REC0009149,REC0009150,1
REC0000058,REC0002362,0
REC0009910,REC0009911,1
REC0005305,REC0011330,0
REC0013390,REC0013391,1
REC0007358,REC0007359,1
REC0011089,REC0011090,1
REC0011404,REC0011405,1
REC0003974,REC0013173,0
REC0003477,REC0003478,1
REC0004327,REC0011691,0
REC0008650,REC0014911,0
REC0009509,REC0011800,0
REC0002137,REC0003103,0
REC0011415,REC0011854,0
REC0013171,REC0014431,0
REC0003750,REC0008565,0
REC0001915,REC0011919,0
REC0003357,REC0005946,0
REC0002218,REC0009238,0
REC0005908,REC0012931,0
REC0002904,REC0005191,0
REC0000526,REC0002360,0
REC0000240,REC0003171,0
REC0002076,REC0013729,0
REC0000473,REC0004630,0
REC0003652,REC0013573,0
REC0007004,REC0012618,0
REC0010144,REC0010145,1
REC0008488,REC0011442,0
REC0004099,REC0005944,0
REC0000454,REC0007290,0
REC0004872,REC0005639,0
REC0000442,REC0000443,1
REC0003770,REC0003771,1
REC0009117,REC0009118,1
REC0012689,REC0013754,0
REC0001152,REC0010723,0
REC0010894,REC0010895,1
REC0004659,REC0004660,1
REC0003185,REC0005992,0
REC0013713,REC0013714,1
REC0002721,REC0009489,0
REC0009603,REC0011055,0
REC0005001,REC0005002,1
REC0006853,REC0008255,0
REC0003476,REC0015007,0
REC0002105,REC0002106,1
REC0004673,REC0010208,0
REC0003587,REC0009611,0
REC0002120,REC0005068,0
REC0014219,REC0014220,1
REC0009044,REC0010663,0
REC0000524,REC0000525,1
REC0002571,REC0005247,0
REC0007880,REC0007881,1
REC0004857,REC0010313,0
REC0007733,REC0007734,1
REC0013097,REC0014365,0
REC0007804,REC0007805,1
REC0012198,REC0012200,1
REC0004107,REC0011921,0
REC0004278,REC0010199,0
REC0008485,REC0013621,0
REC0011207,REC0014535,0
REC0012336,REC0012926,0
REC0001124,REC0003927,0
REC0002293,REC0002294,1
REC0002506,REC0002508,1
REC0003103,REC0003104,1
REC0014553,REC0014555,1
REC0001165,REC0013853,0
REC0001069,REC0008167,0
REC0009630,REC0009631,1
REC0002736,REC0008973,0
REC0009273,REC0009274,1
REC0008881,REC0008882,1
REC0000807,REC0009838,0
REC0001404,REC0001405,1
REC0006523,REC0006524,1
REC0000388,REC0003783,0
REC0001438,REC0012383,0
REC0004204,REC0004206,1
REC0001838,REC0009724,0
REC0001770,REC0008748,0
REC0001857,REC0001978,0
REC0008871,REC0012008,0
REC0003198,REC0003199,1
REC0014648,REC0014649,1
REC0009492,REC0009493,1
REC0002778,REC0004095,0
REC0006307,REC0011186,0
REC0009105,REC0011637,0
REC0002632,REC0013176,0
REC0000928,REC0007675,0
REC0010782,REC0010783,1
REC0014873,REC0014874,1
REC0002362,REC0005436,0
REC0004548,REC0004549,1
REC0001366,REC0013739,0
REC0006079,REC0013112,0
REC0012960,REC0012961,1
REC0005407,REC0005575,0
REC0007627,REC0008792,0
REC0012093,REC0012795,0
REC0005946,REC0011384,0
REC0004473,REC0011486,0
REC0003608,REC0013948,0
REC0009853,REC0014834,0
REC0007565,REC0008421,0
REC0008269,REC0014838,0
REC0012652,REC0013021,0
REC0000092,REC0001788,0
REC0007273,REC0007274,1
REC0001367,REC0003954,0
REC0001086,REC0011702,0
REC0007661,REC0007662,1
REC0001908,REC0004538,0
REC0009123,REC0009124,1
REC0014439,REC0014440,1
REC0000223,REC0001811,0
REC0006513,REC0007700,0
REC0004318,REC0005750,0
REC0001734,REC0004678,0
REC0013275,REC0013277,1
REC0007953,REC0009537,0
REC0007000,REC0010541,0
REC0012905,REC0013851,0
REC0008265,REC0008527,0
REC0008128,REC0009101,0
REC0004685,REC0011765,0
REC0005199,REC0011618,0
REC0014131,REC0014132,1
REC0000447,REC0001469,0
REC0014118,REC0014120,1
REC0003603,REC0010821,0
REC0000343,REC0013733,0
REC0005164,REC0013017,0
REC0000257,REC0009176,0
REC0002672,REC0006344,0
REC0002477,REC0006957,0
REC0008203,REC0012669,0
REC0000093,REC0000094,1
REC0002944,REC0009791,0
REC0001836,REC0002442,0
REC0003645,REC0009704,0
REC0006421,REC0011692,0
REC0002968,REC0010532,0
REC0005859,REC0005860,1
REC0008648,REC0011492,0
REC0004511,REC0006445,0
REC0002734,REC0010878,0
REC0001494,REC0001495,1
REC0004040,REC0004625,0
REC0007711,REC0008916,0
REC0000489,REC0008833,0
REC0004239,REC0007179,0
REC0003981,REC0012548,0
REC0006725,REC0006726,1
REC0001235,REC0001236,1
REC0001804,REC0014320,0
REC0006752,REC0007931,0
REC0009577,REC0012295,0
REC0002962,REC0009730,0
REC0005104,REC0006588,0
REC0008408,REC0008410,1
REC0008672,REC0008673,1
REC0011573,REC0014644,0
REC0006199,REC0007086,0
REC0002491,REC0008282,0
REC0003534,REC0010995,0
REC0009408,REC0011827,0
REC0013807,REC0013808,1
REC0013255,REC0013256,1
REC0001602,REC0001603,1
REC0008982,REC0008983,1
REC0002363,REC0006276,0
REC0002399,REC0006511,0
REC0002292,REC0014263,0
REC0003815,REC0014539,0
REC0002846,REC0014484,0
REC0007136,REC0007680,0
REC0003393,REC0010493,0
REC0006982,REC0012333,0
REC0003174,REC0008008,0
REC0013921,REC0013922,1
REC0011228,REC0011229,1
REC0009154,REC0009155,1
REC0007999,REC0008000,1
REC0001080,REC0012535,0
REC0010584,REC0013962,0
REC0000808,REC0007280,0
REC0002110,REC0002111,1
REC0001369,REC0006253,0
REC0007618,REC0007635,0
REC0002385,REC0003327,0
REC0000494,REC0000495,1
REC0002594,REC0009879,0
REC0003899,REC0006825,0
REC0001384,REC0001385,1
REC0000382,REC0000384,1
REC0008345,REC0008346,1
REC0007949,REC0007950,1
REC0000370,REC0003352,0
REC0002471,REC0004774,0
REC0002388,REC0012908,0
REC0004791,REC0007915,0
REC0002184,REC0004848,0
REC0003656,REC0013283,0
REC0001049,REC0003686,0
REC0005028,REC0014537,0
REC0013083,REC0013084,1
REC0001520,REC0001521,1
REC0001252,REC0014705,0
REC0014605,REC0014607,1
REC0013424,REC0013425,1
REC0000226,REC0002189,0
REC0001414,REC0013186,0
REC0013185,REC0013186,1
REC0006770,REC0009411,0
REC0007254,REC0013390,0
REC0001464,REC0008606,0
REC0000018,REC0000019,1
REC0000423,REC0007669,0
REC0013160,REC0013161,1
REC0001812,REC0012011,0
REC0006950,REC0007597,0
REC0000291,REC0007829,0
REC0002450,REC0002451,1
REC0001344,REC0001345,1
REC0001878,REC0013945,0
REC0001151,REC0008853,0
REC0008266,REC0008528,0
REC0010430,REC0010431,1
REC0014517,REC0014811,0
REC0004026,REC0011339,0
REC0007023,REC0009584,0
REC0001291,REC0008381,0
REC0000401,REC0012905,0
REC0005154,REC0008679,0
REC0001542,REC0009793,0
REC0008100,REC0008993,0
REC0007395,REC0011329,0
REC0003640,REC0013253,0
REC0004137,REC0012370,0
REC0006759,REC0010986,0
REC0005248,REC0005249,1
REC0000637,REC0000639,1
REC0010053,REC0011348,0
REC0007574,REC0007575,1
REC0007142,REC0010048,0
REC0004146,REC0004148,1
REC0002715,REC0012923,0
REC0002830,REC0002831,1
REC0001709,REC0008836,0
REC0005892,REC0005893,1
REC0007212,REC0007213,1
REC0010052,REC0010053,1
REC0002680,REC0004873,0
REC0000483,REC0007522,0
REC0009617,REC0010133,0
REC0011768,REC0011769,1
REC0001242,REC0011561,0
REC0006776,REC0006777,1
REC0001703,REC0010341,0
REC0009331,REC0009768,0
REC0011636,REC0011943,0
REC0002558,REC0002559,1
REC0002938,REC0011641,0
REC0005267,REC0005424,0
REC0001939,REC0001940,1
REC0007087,REC0007088,1
REC0003709,REC0003711,1
REC0007716,REC0012407,0
REC0009042,REC0009043,1
REC0012888,REC0012889,1
REC0004226,REC0006640,0
REC0008391,REC0009980,0
REC0001724,REC0002875,0
REC0012323,REC0012324,1
REC0000644,REC0003615,0
REC0015005,REC0015006,1
REC0001477,REC0001478,1
REC0003234,REC0014228,0
REC0002680,REC0002681,1
REC0005217,REC0006793,0
REC0008060,REC0008061,1
REC0004864,REC0004865,1
REC0002919,REC0006970,0
REC0012601,REC0012830,0
REC0005649,REC0013575,0
REC0010353,REC0010354,1
REC0008437,REC0013803,0
REC0009770,REC0010671,0
REC0010016,REC0010017,1
REC0009362,REC0009363,1
REC0001595,REC0011238,0
REC0002871,REC0011352,0
REC0002385,REC0012132,0
REC0001870,REC0006701,0
REC0005193,REC0005195,1
REC0003730,REC0008978,0
REC0009968,REC0013914,0
REC0010308,REC0010309,1
REC0001989,REC0006554,0
REC0004991,REC0004993,1
REC0002844,REC0008980,0
REC0001256,REC0004797,0
REC0014351,REC0014352,1
REC0005292,REC0005293,1
REC0008046,REC0008047,1
REC0002401,REC0011343,0
REC0007452,REC0007453,1
REC0002064,REC0013447,0
REC0002952,REC0007726,0
REC0003481,REC0007126,0
REC0000418,REC0008248,0
REC0009517,REC0009518,1
REC0007796,REC0010339,0
REC0000681,REC0000682,1
REC0008372,REC0009868,0
REC0004319,REC0006776,0
REC0009439,REC0010190,0
REC0010534,REC0010535,1
REC0011359,REC0011360,1
REC0013015,REC0013016,1
REC0002920,REC0002921,1
REC0001431,REC0005158,0
REC0010860,REC0011565,0
REC0003200,REC0010559,0
REC0003860,REC0010627,0
REC0007369,REC0007370,1
REC0008212,REC0008213,1
REC0011113,REC0011114,1
REC0008517,REC0010243,0
REC0001140,REC0011659,0
REC0008212,REC0009407,0
REC0006168,REC0013188,0
REC0000022,REC0000592,0
REC0009360,REC0012976,0
REC0009413,REC0013204,0
REC0005432,REC0005434,1
REC0012249,REC0013068,0
REC0003543,REC0007961,0
REC0011913,REC0011983,0
REC0000008,REC0000009,1
REC0002099,REC0002362,0
REC0002342,REC0002343,1
REC0001526,REC0001527,1
REC0003415,REC0013679,0
REC0000397,REC0010047,0
REC0005155,REC0008925,0
REC0001963,REC0001965,1
REC0004481,REC0010285,0
REC0006517,REC0013850,0
REC0000423,REC0003825,0
REC0010842,REC0012799,0
REC0000562,REC0014445,0
REC0008407,REC0012808,0
REC0000615,REC0000616,1
REC0005508,REC0005875,0
REC0003204,REC0003205,1
REC0000038,REC0008703,0
REC0007000,REC0014689,0
REC0010708,REC0010709,1
REC0002885,REC0006036,0
REC0000612,REC0000854,0
REC0007101,REC0013596,0
REC0005693,REC0006459,0
REC0006029,REC0006030,1
REC0000145,REC0005656,0
REC0002566,REC0002567,1
REC0009838,REC0009839,1
REC0005679,REC0006659,0
REC0006602,REC0014125,0
REC0005160,REC0005161,1
REC0007636,REC0011110,0
REC0011086,REC0011087,1
REC0013789,REC0013790,1
REC0002171,REC0008434,0
REC0008691,REC0012985,0
REC0007175,REC0007176,1
REC0007062,REC0013657,0
REC0008158,REC0013911,0
REC0001046,REC0005176,0
REC0001237,REC0001239,1
REC0002239,REC0011756,0
REC0000061,REC0006900,0
REC0013843,REC0013844,1
REC0002544,REC0014585,0
REC0007294,REC0008654,0
REC0001597,REC0014280,0
REC0001873,REC0013007,0
REC0013167,REC0013168,1
REC0007784,REC0013381,0
REC0001412,REC0001413,1
REC0001624,REC0011362,0
REC0003550,REC0004190,0
REC0011054,REC0011055,1
REC0013275,REC0013276,1
REC0006991,REC0013072,0
REC0010387,REC0014553,0
REC0010221,REC0012658,0
REC0013793,REC0013794,1
REC0000508,REC0000509,1
REC0003237,REC0005241,0
REC0004445,REC0004446,1
REC0007233,REC0007234,1
REC0003682,REC0004853,0
REC0007731,REC0007732,1
REC0001778,REC0006618,0
REC0009574,REC0014502,0
REC0009963,REC0010170,0
REC0004109,REC0014324,0
REC0002082,REC0010233,0
REC0008693,REC0013382,0
REC0010914,REC0010915,1
REC0010551,REC0010552,1
REC0009050,REC0014542,0
REC0005153,REC0005210,0
REC0001251,REC0013681,0
REC0001568,REC0012922,0
REC0004563,REC0008503,0
REC0000686,REC0008871,0
REC0000048,REC0000049,1
REC0000643,REC0012302,0
REC0009287,REC0014660,0
REC0004002,REC0013407,0
REC0001657,REC0014471,0
REC0008076,REC0012984,0
REC0002447,REC0002448,1
REC0008497,REC0008498,1
REC0007908,REC0007910,1
REC0008571,REC0010652,0
REC0007588,REC0008747,0
REC0007990,REC0010801,0
REC0005563,REC0013995,0
REC0009646,REC0009648,1
REC0005741,REC0005742,1
REC0009703,REC0009704,1
REC0009030,REC0009031,1
REC0006325,REC0011048,0
REC0000986,REC0011868,0
REC0001219,REC0008038,0
REC0005001,REC0012326,0
REC0001524,REC0009805,0
REC0004053,REC0007764,0
REC0007394,REC0007395,1
REC0009271,REC0009937,0
REC0009802,REC0013732,0
REC0005176,REC0014734,0
REC0010035,REC0010036,1
REC0005588,REC0012648,0
REC0006469,REC0008375,0
REC0002978,REC0009237,0
REC0000212,REC0000214,1
REC0011816,REC0014580,0
REC0004608,REC0009914,0
REC0002991,REC0013584,0
REC0005915,REC0013644,0
REC0003050,REC0008378,0
REC0002671,REC0005992,0
REC0004054,REC0010154,0
REC0003376,REC0006532,0
REC0002507,REC0002508,1
REC0002834,REC0010898,0
REC0007816,REC0015012,0
REC0011779,REC0011780,1
REC0005314,REC0005315,1
REC0006415,REC0006416,1
REC0012959,REC0012960,1
REC0012157,REC0012159,1
REC0011667,REC0013412,0
REC0011435,REC0011436,1
REC0005262,REC0009661,0
REC0014176,REC0014177,1
REC0014536,REC0014742,0
REC0002570,REC0010741,0
REC0005656,REC0014693,0
REC0004961,REC0006633,0
REC0001768,REC0008349,0
REC0004554,REC0014622,0
REC0002737,REC0002739,1
REC0000264,REC0000265,1
REC0002771,REC0005424,0
REC0008724,REC0014856,0
REC0009622,REC0014733,0
REC0002537,REC0012913,0
REC0003909,REC0009289,0
REC0010444,REC0014533,0
REC0007313,REC0007805,0
REC0003291,REC0007254,0
REC0012295,REC0014010,0
REC0010226,REC0010228,1
REC0000020,REC0011181,0
REC0012861,REC0012863,1
REC0010028,REC0010029,1
REC0003680,REC0006797,0
REC0010069,REC0010070,1
REC0008938,REC0013307,0
REC0009619,REC0009633,0
REC0004088,REC0005614,0
REC0006398,REC0008175,0
REC0007903,REC0007904,1
REC0005462,REC0005464,1
REC0005568,REC0005569,1
REC0003498,REC0003500,1
REC0001078,REC0006679,0
REC0000430,REC0002805,0
REC0006240,REC0006241,1
REC0007244,REC0009621,0
REC0002102,REC0007949,0
REC0006731,REC0011336,0
REC0005564,REC0010903,0
REC0003383,REC0011291,0
REC0009635,REC0013483,0
REC0006163,REC0006164,1
REC0000237,REC0002144,0
REC0003038,REC0011175,0
REC0006266,REC0008477,0
REC0007498,REC0009798,0
REC0003687,REC0003689,1
REC0004848,REC0005097,0
REC0001620,REC0006628,0
REC0004023,REC0004024,1
REC0002291,REC0006313,0
REC0012106,REC0012107,1
REC0003799,REC0008140,0
REC0000964,REC0005239,0
REC0001153,REC0008633,0
REC0007939,REC0012300,0
REC0003224,REC0004632,0
REC0000624,REC0011248,0
REC0002549,REC0002551,1
REC0011046,REC0013503,0
REC0005145,REC0009152,0
REC0010969,REC0012845,0
REC0006178,REC0008217,0
REC0001498,REC0001499,1
REC0005951,REC0014700,0
REC0006638,REC0006639,1
REC0010272,REC0010273,1
REC0010522,REC0013937,0
REC0003719,REC0013154,0
REC0012924,REC0013871,0
REC0005457,REC0010833,0
REC0003593,REC0013721,0
REC0000126,REC0000128,1
REC0007786,REC0007787,1
REC0009560,REC0009561,1
REC0000015,REC0009774,0
REC0003816,REC0013583,0
REC0001634,REC0001635,1
REC0001968,REC0003866,0
REC0014806,REC0014807,1
REC0012157,REC0012158,1
REC0002077,REC0008698,0
REC0013154,REC0013364,0
REC0002375,REC0002819,0
REC0007308,REC0011775,0
REC0006942,REC0007994,0
REC0007443,REC0007444,1
REC0000008,REC0014789,0
REC0012628,REC0012893,0
REC0007715,REC0007716,1
REC0009679,REC0012593,0
REC0006995,REC0006996,1
REC0002511,REC0011451,0
REC0007656,REC0008995,0
REC0001133,REC0014499,0
REC0004209,REC0005562,0
REC0000645,REC0008388,0
REC0006019,REC0011177,0
REC0004126,REC0004128,1
REC0001738,REC0005473,0
REC0001088,REC0013069,0
REC0004986,REC0012728,0
REC0004580,REC0009051,0
REC0005890,REC0011619,0
REC0001977,REC0013307,0
REC0004687,REC0004688,1
REC0002967,REC0015000,0
REC0009755,REC0014162,0
REC0014184,REC0014185,1
REC0005156,REC0005157,1
REC0009412,REC0013991,0
REC0006935,REC0014349,0
REC0009970,REC0009972,1
REC0006696,REC0006697,1
REC0003458,REC0003459,1
REC0002468,REC0013498,0
REC0005766,REC0014939,0
REC0003810,REC0010373,0
REC0008746,REC0012934,0
REC0007072,REC0014320,0
REC0009074,REC0009075,1
REC0005185,REC0010014,0
REC0011097,REC0014463,0
REC0012175,REC0012176,1
REC0001159,REC0002450,0
REC0009761,REC0009762,1
REC0004456,REC0014202,0
REC0002238,REC0005570,0
REC0005674,REC0011423,0
REC0001323,REC0001324,1
REC0001526,REC0013441,0
REC0000189,REC0012423,0
REC0001483,REC0007433,0
REC0007028,REC0010572,0
REC0010625,REC0010626,1
REC0002074,REC0011177,0
REC0001187,REC0001681,0
REC0001203,REC0011371,0
REC0002807,REC0003681,0
REC0007088,REC0007089,1
REC0002416,REC0002417,1
REC0001348,REC0001349,1
REC0005325,REC0012165,0
REC0002028,REC0008379,0
REC0007506,REC0007507,1
REC0000823,REC0000824,1
REC0001241,REC0001242,1
REC0001468,REC0004368,0
REC0002772,REC0002984,0
REC0014978,REC0014980,1
REC0005479,REC0005480,1
REC0001410,REC0001411,1
REC0004711,REC0004712,1
REC0004619,REC0013132,0
REC0003416,REC0009380,0
REC0001145,REC0001146,1
REC0001186,REC0001188,1
REC0005394,REC0009840,0
REC0006815,REC0007781,0
REC0000277,REC0000278,1
REC0009717,REC0009890,0
REC0001532,REC0013674,0
REC0001647,REC0014778,0
REC0001930,REC0004695,0
REC0002872,REC0003560,0
REC0012427,REC0012428,1
REC0012441,REC0012442,1
REC0006283,REC0014337,0
REC0012016,REC0012017,1
REC0001838,REC0002213,0
REC0001410,REC0011373,0
REC0005915,REC0005916,1
REC0001181,REC0001182,1
REC0008781,REC0008782,1
REC0008592,REC0014220,0
REC0004799,REC0004800,1
REC0000890,REC0008111,0
REC0007557,REC0007558,1
REC0005491,REC0012707,0
REC0005187,REC0007750,0
REC0001351,REC0007991,0
REC0013620,REC0013622,1
REC0010839,REC0010841,1
REC0010270,REC0010271,1
REC0001680,REC0013466,0
REC0000284,REC0012825,0
REC0002713,REC0010158,0
REC0001910,REC0001911,1
REC0009846,REC0009847,1
REC0008354,REC0008355,1
REC0000397,REC0009496,0
REC0008243,REC0008836,0
REC0004275,REC0010972,0
REC0001496,REC0011378,0
REC0007733,REC0007935,0
REC0006318,REC0008355,0
REC0002972,REC0002973,1
REC0012990,REC0012991,1
REC0006112,REC0010145,0
REC0001979,REC0001980,1
REC0003546,REC0010297,0
REC0000153,REC0010761,0
REC0000773,REC0005741,0
REC0007242,REC0012500,0
REC0001431,REC0001432,1
REC0002034,REC0005296,0
REC0012039,REC0012802,0
REC0010784,REC0010785,1
REC0007681,REC0015012,0
REC0006483,REC0006485,1
REC0011329,REC0011366,0
REC0001623,REC0001624,1
REC0001803,REC0001804,1
REC0006789,REC0012900,0
REC0014058,REC0014059,1
REC0009667,REC0014762,0
REC0000318,REC0012566,0
REC0003722,REC0004987,0
REC0003397,REC0006190,0
REC0008688,REC0011717,0
REC0008601,REC0008602,1
REC0001521,REC0003777,0
REC0000002,REC0012580,0
REC0012893,REC0014885,0
REC0005107,REC0014996,0
REC0006730,REC0006731,1
REC0000667,REC0014088,0
REC0007419,REC0013522,0
REC0001258,REC0001259,1
REC0010990,REC0010991,1
REC0013711,REC0013712,1
REC0002125,REC0008008,0
REC0001814,REC0003348,0
REC0008722,REC0008723,1
REC0002339,REC0006800,0
REC0004540,REC0011436,0
REC0005634,REC0007114,0
REC0009864,REC0009956,0
REC0010788,REC0010789,1
REC0009139,REC0009866,0
REC0001835,REC0005416,0
REC0010279,REC0010280,1
REC0008391,REC0008963,0
REC0002814,REC0005138,0
REC0007878,REC0014101,0
REC0000875,REC0007312,0
REC0010231,REC0013021,0
REC0003731,REC0009430,0
REC0000098,REC0010231,0
REC0002875,REC0004741,0
REC0014243,REC0014244,1
REC0003935,REC0013293,0
REC0000245,REC0006860,0
REC0011663,REC0015011,0
REC0007510,REC0007511,1
REC0012089,REC0012091,1
REC0005061,REC0007239,0
REC0003036,REC0008464,0
REC0008355,REC0009849,0
REC0006855,REC0009860,0
REC0011098,REC0012081,0
REC0001666,REC0002889,0
REC0005022,REC0005023,1
REC0002216,REC0002217,1
REC0002071,REC0002982,0
REC0007536,REC0008672,0
REC0005141,REC0005142,1
REC0013929,REC0013930,1
REC0009195,REC0013667,0
REC0003985,REC0003986,1
REC0012976,REC0012977,1
REC0005187,REC0005188,1
REC0007205,REC0011967,0
REC0000352,REC0011742,0
REC0003299,REC0014122,0
REC0002055,REC0002056,1
REC0008239,REC0013366,0
REC0003772,REC0011241,0
REC0007124,REC0007125,1
REC0007747,REC0009396,0
REC0003030,REC0003670,0
REC0004153,REC0004154,1
REC0006520,REC0014087,0
REC0008761,REC0009296,0
REC0001340,REC0009165,0
REC0002490,REC0004859,0
REC0012882,REC0014509,0
REC0013500,REC0013501,1
REC0011954,REC0011955,1
REC0006019,REC0015007,0
REC0002515,REC0007438,0
REC0009786,REC0013081,0
REC0000999,REC0006390,0
REC0004760,REC0011249,0
REC0005383,REC0009402,0
